state,action
"[2, np.int32(6)]","4"
"[2, np.int32(6)]","4"
"[2, np.int32(6)]","4"
"[2, np.int32(6)]","4"
"[2, np.int32(6)]","4"
"[2, np.int32(6)]","4"
"[2, np.int32(6)]","4"
"[2, np.int32(6)]","3"
"[2, np.int32(7)]","2"
"[2, np.int32(6)]","1"
"[3, np.int32(6)]","1"
"[4, np.int32(6)]","1"
"[np.int32(6), np.int32(0)]","4"
"[np.int32(6), np.int32(0)]","4"
"[np.int32(6), np.int32(0)]","4"
"[np.int32(6), np.int32(0)]","2"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","3"
"[np.int32(6), 1]","4"
"[np.int32(6), 1]","4"
"[np.int32(6), 1]","0"
"[np.int32(5), 1]","4"
"[np.int32(5), 1]","4"
"[np.int32(5), 1]","4"
"[np.int32(5), 1]","4"
"[np.int32(5), 1]","4"
"[np.int32(5), 1]","4"
"[np.int32(5), 1]","2"
"[np.int32(5), 0]","1"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","2"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","2"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","3"
"[np.int32(6), 1]","4"
"[np.int32(6), 1]","2"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","4"
"[np.int32(6), 0]","1"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","4"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","2"
"[np.int32(7), 0]","3"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
